# Mean_Fitness,Std_Dev,Top_1_Fitness
1.201380481547639221e+02,6.945278678241301407e+01,1.629192317008684654e+01
1.393249184340798479e+02,6.834625295811274270e+01,1.629192317008684654e+01
1.007238330119203340e+02,7.111605558153338791e+01,1.629192317008684654e+01
1.010722945522537373e+02,6.802005341184775489e+01,1.629192317008684654e+01
1.057896689204288094e+02,6.211845173115539609e+01,1.629192317008684654e+01
1.004086445933223075e+02,6.075729889185427623e+01,1.629192317008684654e+01
1.077906162298749280e+02,5.673208287766549773e+01,1.612677027345354475e+01
9.071011885478722547e+01,6.574696610444502198e+01,1.612677027345354475e+01
1.022148752359094175e+02,6.020819079080458636e+01,1.612677027345354475e+01
1.035100529332400612e+02,6.221638137092568144e+01,1.612677027345354475e+01
8.936231728985544009e+01,6.724358124451886454e+01,1.450436741196766377e+01
1.015684541101585410e+02,7.039574313361339364e+01,1.450436741196766377e+01
9.728912679072422520e+01,7.420074763924797878e+01,1.445910787389840380e+01
1.002019089872583493e+02,6.853156271770795627e+01,1.445910787389840380e+01
9.908100230949557385e+01,6.259558887075215949e+01,1.445910787389840380e+01
1.099523745548477507e+02,6.194267732236278334e+01,1.422594406975859727e+01
1.007442984337832428e+02,6.567418284494856096e+01,1.422594406975859727e+01
8.861667164743361980e+01,7.204517532255155743e+01,1.422594406975859727e+01
1.020691656240062741e+02,7.370453165768283554e+01,1.422594406975859727e+01
1.158113768319346946e+02,7.668439967490864717e+01,1.422594406975859727e+01
1.175655860230872634e+02,7.135725522347470928e+01,1.422594406975859727e+01
1.074820115329010122e+02,6.268747249900982865e+01,1.422594406975859727e+01
1.283235178603255804e+02,7.560809307186188732e+01,1.422594406975859727e+01
1.150081549829190664e+02,7.577553494399784029e+01,1.422594406975859727e+01
1.073528759426026511e+02,6.556447085573240940e+01,1.422594406975859727e+01
1.155467289629555836e+02,6.924360026900806986e+01,1.422594406975859727e+01
1.194670604177360218e+02,6.533642758230875813e+01,1.380722585789244761e+01
9.653833528015483978e+01,6.679114867252233978e+01,1.380722585789244761e+01
1.014158051579816231e+02,6.674015167424664696e+01,1.333782936490216287e+01
9.717822520542070208e+01,6.475906058416987321e+01,1.333606902254580007e+01
1.019193446555215559e+02,6.011160542224350678e+01,1.326391152631998693e+01
1.111985397857015414e+02,6.960901371219814848e+01,1.326391152631998693e+01
1.139773840794211992e+02,7.046795238093649516e+01,1.326391152631998693e+01
1.197797682866796265e+02,6.891482718454403766e+01,1.326391152631998693e+01
1.173252954723722894e+02,6.300672524650919115e+01,1.326391152631998693e+01
1.146307900240557984e+02,7.390629544682703056e+01,1.326391152631998693e+01
1.024570602176119110e+02,6.855742943021382985e+01,1.326391152631998693e+01
1.002482035699215146e+02,6.123692410912808270e+01,1.321376587065358876e+01
1.147842295170244569e+02,5.574996248480029237e+01,1.321376587065358876e+01
9.607026732683416981e+01,6.943281585468088224e+01,1.321376587065358876e+01
1.143561524679713273e+02,6.539028263978616451e+01,1.321376587065358876e+01
1.160826072551002426e+02,6.449571905675786354e+01,1.321376587065358876e+01
1.205253085434741536e+02,6.332690447027532343e+01,1.321376587065358876e+01
9.798776458264956091e+01,6.976773986025291663e+01,1.321376587065358876e+01
9.574769450508406976e+01,6.194181197988100962e+01,1.314483595751835310e+01
9.273278731952821374e+01,6.430915351215141129e+01,1.314483595751835310e+01
1.027446437751668498e+02,5.944849021034914216e+01,1.314483595751835310e+01
1.177459885975093528e+02,6.326127250552163872e+01,1.314483595751835310e+01
1.081420974921114464e+02,6.168189147425688645e+01,1.314483595751835310e+01
1.077741189934506139e+02,6.306358322167634611e+01,1.306809782847248869e+01
9.377838402485140534e+01,6.711246746667296748e+01,1.306809782847248869e+01
1.113567246757117175e+02,6.909910221290071775e+01,1.298086808745360088e+01
9.141689338449263857e+01,6.907333406121013297e+01,1.298086808745360088e+01
1.173418505772393985e+02,7.203566172458319272e+01,1.298086808745360088e+01
1.156308291827021577e+02,7.926844885807939534e+01,1.298086808745360088e+01
1.138052770818817407e+02,7.602422947111440976e+01,1.298086808745360088e+01
9.053910225444408866e+01,6.902995825538809527e+01,1.298086808745360088e+01
1.008195889364118187e+02,5.943315014715253142e+01,1.298086808745360088e+01
1.011060757786669058e+02,6.335921696900979327e+01,1.298086808745360088e+01
1.025496914857936588e+02,6.572740265810764981e+01,1.298086808745360088e+01
8.100338333363795584e+01,6.372236182880967448e+01,1.298086808745360088e+01
1.024608123828236046e+02,6.700072026380341583e+01,1.298086808745360088e+01
1.123040637418478553e+02,6.166270701917370189e+01,1.298086808745360088e+01
9.123890660352299165e+01,6.623901344799169522e+01,1.298086808745360088e+01
1.098016129527861295e+02,6.345998775251420909e+01,1.298086808745360088e+01
1.138203337628452090e+02,6.990057062117637088e+01,1.298086808745360088e+01
9.303280503711133065e+01,6.438886942200083752e+01,1.297582552064977790e+01
1.221512540612807953e+02,6.257665797971314703e+01,1.297582552064977790e+01
1.177881349774222883e+02,6.149309151588735745e+01,1.297582552064977790e+01
